,movie,production_budget,domestic_gross_x,worldwide_gross,studio,release_month,release_year,primary_genre,sub_genre,p_l,p_l_%
0,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,BV,5,2011,Action,Adventure,635063875,254.6672856794934
1,Avengers: Age of Ultron,330600000,459005868,1403013963,BV,5,2015,Action,Adventure,1072413963,424.3841388384755
2,Avengers: Infinity War,300000000,678815482,2048134200,BV,4,2018,Action,Adventure,1748134200,682.7114
3,Justice League,300000000,229024295,655945209,WB,11,2017,Action,Adventure,355945209,218.648403
4,Spectre,300000000,200074175,879620923,Sony,11,2015,Action,Adventure,579620923,293.20697433333333
5,The Dark Knight Rises,275000000,448139099,1084439099,WB,7,2012,Action,Thriller,809439099,394.3414905454545
6,Solo: A Star Wars Story,275000000,213767512,393151347,BV,5,2018,Action,Adventure,118151347,142.9641261818182
7,The Lone Ranger,275000000,89302115,260002115,BV,7,2013,Action,Adventure,-14997885,94.54622363636364
8,John Carter,275000000,73058679,282778100,BV,3,2012,Action,Adventure,7778100,102.8284
9,Tangled,260000000,200821936,586477240,BV,11,2010,Adventure,Animation,326477240,225.5681692307692
10,Captain America: Civil War,250000000,408084349,1140069413,BV,5,2016,Action,Adventure,890069413,456.0277652
11,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,WB,3,2016,Action,Adventure,617500281,347.0001124
12,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,WB (NL),12,2012,Adventure,Family,767003568,406.80142720000003
13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,WB (NL),12,2013,Adventure,Fantasy,710366855,384.14674199999996
14,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,WB (NL),12,2014,Adventure,Fantasy,695577621,378.23104839999996
15,The Fate of the Furious,250000000,225764765,1234846267,Uni.,4,2017,Action,Crime,984846267,493.9385068
16,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,BV,5,2017,Action,Adventure,558241137,342.71353782608696
17,Man of Steel,225000000,291045518,667999518,WB,6,2013,Action,Adventure,442999518,296.88867466666665
18,The Amazing Spider-Man,220000000,262030663,757890267,Sony,7,2012,Action,Adventure,537890267,344.4955759090909
19,Battleship,220000000,65233400,313477717,Uni.,5,2012,Action,Adventure,93477717,142.48987136363635
20,Transformers: The Last Knight,217000000,130168683,602893340,Par.,6,2017,Action,Adventure,385893340,277.8310322580645
21,Jurassic World,215000000,652270625,1648854864,Uni.,6,2015,Action,Adventure,1433854864,766.9092390697674
22,Transformers: Age of Extinction,210000000,245439076,1104039076,Par.,6,2014,Action,Adventure,894039076,525.7328933333333
23,Robin Hood,210000000,105487148,322459006,Uni.,5,2010,Action,Adventure,112459006,153.55190761904763
31,Black Panther,200000000,700059566,1348258224,BV,2,2018,Action,Adventure,1148258224,674.129112
32,Incredibles 2,200000000,608581744,1242520711,BV,6,2018,Action,Adventure,1042520711,621.2603555000001
33,Rogue One: A Star Wars Story,200000000,532177324,1049102856,BV,12,2016,Action,Adventure,849102856,524.551428
34,Finding Dory,200000000,486295561,1021215193,BV,6,2016,Adventure,Animation,821215193,510.60759649999994
35,Toy Story 3,200000000,415004880,1068879522,BV,6,2010,Adventure,Animation,868879522,534.439761
36,Iron Man 3,200000000,408992272,1215392272,BV,5,2013,Action,Adventure,1015392272,607.696136
37,Skyfall,200000000,304360277,1110526981,Sony,11,2012,Action,Adventure,910526981,555.2634905
38,Monsters University,200000000,268488329,743588329,BV,6,2013,Adventure,Animation,543588329,371.79416449999997
39,X-Men: Days of Future Past,200000000,233921534,747862775,Fox,5,2014,Action,Adventure,547862775,373.9313875
40,The Amazing Spider-Man 2,200000000,202853933,708996336,Sony,5,2014,Action,Adventure,508996336,354.49816799999996
41,Cars 2,200000000,191450875,560155383,BV,6,2011,Adventure,Animation,360155383,280.0776915
42,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,WB,11,2018,Adventure,Family,452220086,326.110043
43,Green Lantern,200000000,116601172,219535492,WB,6,2011,Action,Adventure,19535492,109.76774600000002
44,Transformers: Dark of the Moon,195000000,352390543,1123790543,P/DW,6,2011,Action,Adventure,928790543,576.3028425641025
45,Jack the Giant Slayer,195000000,65187603,197687603,WB (NL),3,2013,Adventure,Fantasy,2687603,101.37825794871796
46,Furious 7,190000000,353007020,1518722794,Uni.,4,2015,Action,Crime,1328722794,799.3277863157895
47,Star Trek Into Darkness,190000000,228778661,467381584,Par.,5,2013,Action,Adventure,277381584,245.99030736842104
48,World War Z,190000000,202359711,531514650,Par.,6,2013,Action,Adventure,341514650,279.7445526315789
49,Pacific Rim,190000000,101802906,411002906,WB,7,2013,Action,Adventure,221002906,216.31731894736842
50,The Good Dinosaur,187500000,123087120,333771037,BV,11,2015,Adventure,Animation,146271037,178.01121973333335
51,Brave,185000000,237282182,554606532,BV,6,2012,Adventure,Animation,369606532,299.7873145945946
52,Kong: Skull Island,185000000,168052812,561072059,WB,3,2017,Action,Adventure,376072059,303.28219405405406
53,Star Trek Beyond,185000000,158848340,335802233,Par.,7,2016,Action,Adventure,150802233,181.51472054054054
54,Blade Runner 2049,185000000,92054159,259357408,WB,10,2017,Drama,Mystery,74357408,140.1931935135135
55,Thor: Ragnarok,180000000,315058289,846980024,BV,11,2017,Action,Adventure,666980024,470.5444577777778
56,Maleficent,180000000,241407328,758536735,BV,5,2014,Action,Adventure,578536735,421.40929722222216
57,The Legend of Tarzan,180000000,126643061,348902025,WB,7,2016,Action,Adventure,168902025,193.83445833333332
58,Hugo,180000000,73864507,180047784,Par.,11,2011,Adventure,Drama,47784,100.02654666666666
60,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,STX,7,2017,Action,Adventure,35098356,119.49908666666667
